02 results:
===========================================================
GO/NO-GO GATE #1: MRE AUROC on clean MAGE
============================================================
  mre_r0.15: AUROC=0.6078  TPR@1%=0.1750  TPR@5%=0.2440  [lower=machine]  mean(H)=3.024 mean(M)=2.347
  mre_r0.30: AUROC=0.6054  TPR@1%=0.1830  TPR@5%=0.2360  [lower=machine]  mean(H)=3.771 mean(M)=3.014
  mre_r0.50: AUROC=0.5964  TPR@1%=0.1620  TPR@5%=0.2210  [lower=machine]  mean(H)=4.976 mean(M)=4.205
  mre_mean: AUROC=0.6023  TPR@1%=0.1780  TPR@5%=0.2260  [lower=machine]  mean(H)=3.923 mean(M)=3.189

Best: mre_r0.15 = 0.6078
🔴 NO-GO: AUROC < 0.70. Core premise is weak. Consider pivoting.

Per-generator AUROC:
  cmv_machine_continuation_text-davinci-002: AUROC=0.5967 (n=1003)
  cmv_machine_continuation_text-davinci-003: AUROC=0.6420 (n=1003)
  cmv_machine_specified_gpt-3.5-trubo: AUROC=0.7020 (n=1001)
  cmv_machine_specified_text-davinci-002: AUROC=0.6025 (n=1002)
  cmv_machine_topical_gpt-3.5-trubo: AUROC=0.7480 (n=1001)
  cmv_machine_topical_text-davinci-002: AUROC=0.7064 (n=1005)
  cmv_machine_topical_text-davinci-003: AUROC=0.5017 (n=1003)
  cnn_gpt4: AUROC=0.8940 (n=1005)
  cnn_gpt4_para: AUROC=0.9561 (n=1009)
  dialogsum_gpt4: AUROC=0.7375 (n=1004)
  dialogsum_gpt4_para: AUROC=0.6056 (n=1009)
  dialogsum_human_para: AUROC=0.8120 (n=1006)
  eli5_machine_continuation_13B: AUROC=0.9416 (n=1005)
  eli5_machine_continuation_30B: AUROC=0.9995 (n=1002)
  eli5_machine_continuation_65B: AUROC=0.9925 (n=1002)
  eli5_machine_continuation_7B: AUROC=0.9540 (n=1001)
  eli5_machine_continuation_GLM130B: AUROC=0.7349 (n=1007)
  eli5_machine_continuation_bloom_7b: AUROC=0.6598 (n=1004)
  eli5_machine_continuation_flan_t5_base: AUROC=0.7775 (n=1002)
  eli5_machine_continuation_flan_t5_large: AUROC=0.8480 (n=1001)
  eli5_machine_continuation_flan_t5_xl: AUROC=0.7143 (n=1006)
  eli5_machine_continuation_flan_t5_xxl: AUROC=0.5140 (n=1002)
  eli5_machine_continuation_gpt-3.5-trubo: AUROC=0.5080 (n=1003)
  eli5_machine_continuation_gpt_j: AUROC=0.7690 (n=1001)
  eli5_machine_continuation_gpt_neox: AUROC=0.5885 (n=1002)
  eli5_machine_continuation_opt_1.3b: AUROC=0.5165 (n=1002)
  eli5_machine_continuation_opt_125m: AUROC=0.5828 (n=1005)
  eli5_machine_continuation_opt_13b: AUROC=0.5725 (n=1004)
  eli5_machine_continuation_opt_2.7b: AUROC=0.5203 (n=1003)
  eli5_machine_continuation_opt_30b: AUROC=0.6420 (n=1002)
  eli5_machine_continuation_opt_350m: AUROC=0.5416 (n=1005)
  eli5_machine_continuation_opt_iml_30b: AUROC=0.5428 (n=1005)
  eli5_machine_continuation_opt_iml_max_1.3b: AUROC=0.5280 (n=1005)
  eli5_machine_continuation_t0_11b: AUROC=0.8715 (n=1002)
  eli5_machine_continuation_t0_3b: AUROC=0.8307 (n=1003)
  eli5_machine_continuation_text-davinci-002: AUROC=0.7490 (n=1003)
  eli5_machine_continuation_text-davinci-003: AUROC=0.6200 (n=1001)
  eli5_machine_specified_text-davinci-002: AUROC=0.8560 (n=1003)
  eli5_machine_specified_text-davinci-003: AUROC=0.5300 (n=1003)
  eli5_machine_topical_gpt-3.5-trubo: AUROC=0.6605 (n=1004)
  eli5_machine_topical_text-davinci-002: AUROC=0.7429 (n=1007)
  eli5_machine_topical_text-davinci-003: AUROC=0.6865 (n=1004)
  hswag_machine_continuation_13B: AUROC=0.8928 (n=1004)
  hswag_machine_continuation_30B: AUROC=0.9926 (n=1005)
  hswag_machine_continuation_65B: AUROC=0.8177 (n=1004)
  hswag_machine_continuation_7B: AUROC=0.9065 (n=1004)
  hswag_machine_continuation_GLM130B: AUROC=0.7770 (n=1003)
  hswag_machine_continuation_bloom_7b: AUROC=0.6930 (n=1001)
  hswag_machine_continuation_flan_t5_base: AUROC=0.9310 (n=1001)
  hswag_machine_continuation_flan_t5_large: AUROC=0.6905 (n=1004)
  hswag_machine_continuation_flan_t5_small: AUROC=0.7518 (n=1005)
  hswag_machine_continuation_flan_t5_xl: AUROC=0.7235 (n=1004)
  hswag_machine_continuation_flan_t5_xxl: AUROC=0.5833 (n=1003)
  hswag_machine_continuation_gpt-3.5-trubo: AUROC=0.7940 (n=1002)
  hswag_machine_continuation_gpt_j: AUROC=0.7650 (n=1001)
  hswag_machine_continuation_gpt_neox: AUROC=0.6924 (n=1005)
  hswag_machine_continuation_opt_1.3b: AUROC=0.5273 (n=1003)
  hswag_machine_continuation_opt_125m: AUROC=0.6452 (n=1004)
  hswag_machine_continuation_opt_13b: AUROC=0.7985 (n=1002)
  hswag_machine_continuation_opt_2.7b: AUROC=0.5477 (n=1003)
  hswag_machine_continuation_opt_30b: AUROC=0.6220 (n=1003)
  hswag_machine_continuation_opt_350m: AUROC=0.7140 (n=1001)
  hswag_machine_continuation_opt_6.7b: AUROC=0.5180 (n=1001)
  hswag_machine_continuation_opt_iml_30b: AUROC=0.6960 (n=1001)
  hswag_machine_continuation_opt_iml_max_1.3b: AUROC=0.7660 (n=1001)
  hswag_machine_continuation_t0_11b: AUROC=0.8750 (n=1001)
  hswag_machine_continuation_t0_3b: AUROC=0.8320 (n=1001)
  hswag_machine_continuation_text-davinci-002: AUROC=0.7435 (n=1004)
  hswag_machine_continuation_text-davinci-003: AUROC=0.6005 (n=1002)
  hswag_machine_specified_gpt-3.5-trubo: AUROC=0.9008 (n=1004)
  hswag_machine_specified_text-davinci-002: AUROC=0.8885 (n=1002)
  hswag_machine_specified_text-davinci-003: AUROC=0.9440 (n=1002)
  hswag_machine_topical_gpt-3.5-trubo: AUROC=0.7907 (n=1003)
  hswag_machine_topical_text-davinci-002: AUROC=0.7607 (n=1003)
  hswag_machine_topical_text-davinci-003: AUROC=0.8560 (n=1001)
  imdb_gpt4: AUROC=0.9870 (n=1003)
  imdb_gpt4_para: AUROC=0.8235 (n=1004)
  imdb_human_para: AUROC=0.7127 (n=1006)
  pubmed_gpt4: AUROC=0.9003 (n=1007)
  pubmed_gpt4_para: AUROC=0.9000 (n=1006)
  pubmed_human_para: AUROC=0.6146 (n=1005)
  roct_machine_continuation_13B: AUROC=0.9168 (n=1004)
  roct_machine_continuation_30B: AUROC=0.9570 (n=1007)
  roct_machine_continuation_65B: AUROC=0.9970 (n=1001)
  roct_machine_continuation_7B: AUROC=0.8237 (n=1003)
  roct_machine_continuation_GLM130B: AUROC=0.9990 (n=1005)
  roct_machine_continuation_bloom_7b: AUROC=0.6342 (n=1006)
  roct_machine_continuation_flan_t5_base: AUROC=0.9490 (n=1001)
  roct_machine_continuation_flan_t5_large: AUROC=0.9690 (n=1002)
  roct_machine_continuation_flan_t5_small: AUROC=0.8220 (n=1002)
  roct_machine_continuation_flan_t5_xl: AUROC=0.6480 (n=1002)
  roct_machine_continuation_flan_t5_xxl: AUROC=0.9110 (n=1001)
  roct_machine_continuation_gpt_j: AUROC=0.7227 (n=1003)
  roct_machine_continuation_gpt_neox: AUROC=0.7290 (n=1001)
  roct_machine_continuation_opt_1.3b: AUROC=0.6950 (n=1005)
  roct_machine_continuation_opt_125m: AUROC=0.6200 (n=1003)
  roct_machine_continuation_opt_13b: AUROC=0.5997 (n=1006)
  roct_machine_continuation_opt_2.7b: AUROC=0.5515 (n=1004)
  roct_machine_continuation_opt_30b: AUROC=0.5940 (n=1003)
  roct_machine_continuation_opt_350m: AUROC=0.7690 (n=1001)
  roct_machine_continuation_opt_6.7b: AUROC=0.8960 (n=1001)
  roct_machine_continuation_opt_iml_30b: AUROC=0.6305 (n=1002)
  roct_machine_continuation_opt_iml_max_1.3b: AUROC=0.5070 (n=1003)
  roct_machine_continuation_t0_11b: AUROC=0.9540 (n=1001)
  roct_machine_continuation_t0_3b: AUROC=0.6402 (n=1004)
  roct_machine_continuation_text-davinci-002: AUROC=0.6546 (n=1009)
  roct_machine_continuation_text-davinci-003: AUROC=0.6134 (n=1005)
  roct_machine_specified_gpt-3.5-trubo: AUROC=0.6070 (n=1004)
  roct_machine_specified_text-davinci-002: AUROC=0.5560 (n=1001)
  roct_machine_specified_text-davinci-003: AUROC=0.6002 (n=1009)
  roct_machine_topical_gpt-3.5-trubo: AUROC=0.9960 (n=1003)
  roct_machine_topical_text-davinci-002: AUROC=0.6445 (n=1004)
  roct_machine_topical_text-davinci-003: AUROC=0.9397 (n=1003)
  sci_gen_machine_continuation_13B: AUROC=0.7640 (n=1004)
  sci_gen_machine_continuation_30B: AUROC=0.8875 (n=1004)
  sci_gen_machine_continuation_65B: AUROC=0.5742 (n=1006)
  sci_gen_machine_continuation_7B: AUROC=0.9870 (n=1001)
  sci_gen_machine_continuation_GLM130B: AUROC=0.9605 (n=1002)
  sci_gen_machine_continuation_bloom_7b: AUROC=0.9205 (n=1002)
  sci_gen_machine_continuation_flan_t5_base: AUROC=0.8923 (n=1006)
  sci_gen_machine_continuation_flan_t5_large: AUROC=0.7805 (n=1002)
  sci_gen_machine_continuation_flan_t5_small: AUROC=0.8670 (n=1003)
  sci_gen_machine_continuation_flan_t5_xl: AUROC=0.6940 (n=1001)
  sci_gen_machine_continuation_flan_t5_xxl: AUROC=0.9200 (n=1001)
  sci_gen_machine_continuation_gpt-3.5-trubo: AUROC=0.7862 (n=1005)
  sci_gen_machine_continuation_gpt_j: AUROC=0.6930 (n=1001)
  sci_gen_machine_continuation_gpt_neox: AUROC=0.9010 (n=1001)
  sci_gen_machine_continuation_opt_1.3b: AUROC=0.8070 (n=1002)
  sci_gen_machine_continuation_opt_125m: AUROC=0.7467 (n=1003)
  sci_gen_machine_continuation_opt_13b: AUROC=0.5320 (n=1001)
  sci_gen_machine_continuation_opt_2.7b: AUROC=0.5646 (n=1005)
  sci_gen_machine_continuation_opt_30b: AUROC=0.5228 (n=1005)
  sci_gen_machine_continuation_opt_350m: AUROC=0.6490 (n=1001)
  sci_gen_machine_continuation_opt_6.7b: AUROC=0.5872 (n=1005)
  sci_gen_machine_continuation_opt_iml_30b: AUROC=0.6222 (n=1004)
  sci_gen_machine_continuation_t0_11b: AUROC=0.6855 (n=1002)
  sci_gen_machine_continuation_t0_3b: AUROC=0.6903 (n=1003)
  sci_gen_machine_continuation_text-davinci-002: AUROC=0.8393 (n=1003)
  sci_gen_machine_continuation_text-davinci-003: AUROC=0.6330 (n=1001)
  squad_machine_continuation_13B: AUROC=0.9852 (n=1006)
  squad_machine_continuation_30B: AUROC=0.9301 (n=1007)
  squad_machine_continuation_65B: AUROC=0.9780 (n=1001)
  squad_machine_continuation_7B: AUROC=0.9680 (n=1001)
  squad_machine_continuation_GLM130B: AUROC=0.9940 (n=1004)
  squad_machine_continuation_bloom_7b: AUROC=0.8008 (n=1005)
  squad_machine_continuation_flan_t5_base: AUROC=0.8270 (n=1001)
  squad_machine_continuation_flan_t5_large: AUROC=0.8080 (n=1002)
  squad_machine_continuation_flan_t5_small: AUROC=0.8363 (n=1003)
  squad_machine_continuation_flan_t5_xl: AUROC=0.6955 (n=1004)
  squad_machine_continuation_flan_t5_xxl: AUROC=0.5654 (n=1007)
  squad_machine_continuation_gpt-3.5-trubo: AUROC=0.5667 (n=1004)
  squad_machine_continuation_gpt_j: AUROC=0.8043 (n=1003)
  squad_machine_continuation_gpt_neox: AUROC=0.5242 (n=1005)
  squad_machine_continuation_opt_1.3b: AUROC=0.9120 (n=1002)
  squad_machine_continuation_opt_125m: AUROC=0.5585 (n=1004)
  squad_machine_continuation_opt_13b: AUROC=0.5290 (n=1002)
  squad_machine_continuation_opt_2.7b: AUROC=0.9040 (n=1002)
  squad_machine_continuation_opt_30b: AUROC=0.8330 (n=1002)
  squad_machine_continuation_opt_350m: AUROC=0.7192 (n=1005)
  squad_machine_continuation_opt_6.7b: AUROC=0.7643 (n=1003)
  squad_machine_continuation_opt_iml_30b: AUROC=0.5757 (n=1003)
  squad_machine_continuation_opt_iml_max_1.3b: AUROC=0.8004 (n=1005)
  squad_machine_continuation_t0_11b: AUROC=0.6313 (n=1003)
  squad_machine_continuation_t0_3b: AUROC=0.6390 (n=1001)
  squad_machine_continuation_text-davinci-002: AUROC=0.8570 (n=1004)
  squad_machine_continuation_text-davinci-003: AUROC=0.7159 (n=1004)
  tldr_machine_continuation_13B: AUROC=0.9925 (n=1004)
  tldr_machine_continuation_30B: AUROC=0.9980 (n=1003)
  tldr_machine_continuation_65B: AUROC=0.9850 (n=1001)
  tldr_machine_continuation_7B: AUROC=0.9940 (n=1001)
  tldr_machine_continuation_GLM130B: AUROC=0.6808 (n=1005)
  tldr_machine_continuation_bloom_7b: AUROC=0.6685 (n=1004)
  tldr_machine_continuation_flan_t5_base: AUROC=0.7730 (n=1003)
  tldr_machine_continuation_flan_t5_large: AUROC=0.7275 (n=1002)
  tldr_machine_continuation_flan_t5_small: AUROC=0.7757 (n=1003)
  tldr_machine_continuation_flan_t5_xl: AUROC=0.5360 (n=1002)
  tldr_machine_continuation_flan_t5_xxl: AUROC=0.9955 (n=1002)
  tldr_machine_continuation_gpt-3.5-trubo: AUROC=0.8005 (n=1002)
  tldr_machine_continuation_gpt_neox: AUROC=0.7115 (n=1002)
  tldr_machine_continuation_opt_1.3b: AUROC=0.5605 (n=1002)
  tldr_machine_continuation_opt_125m: AUROC=0.5993 (n=1003)
  tldr_machine_continuation_opt_2.7b: AUROC=0.5017 (n=1003)
  tldr_machine_continuation_opt_30b: AUROC=0.5317 (n=1003)
  tldr_machine_continuation_opt_350m: AUROC=0.7790 (n=1001)
  tldr_machine_continuation_opt_6.7b: AUROC=0.7625 (n=1002)
  tldr_machine_continuation_opt_iml_30b: AUROC=0.6660 (n=1003)
  tldr_machine_continuation_t0_11b: AUROC=0.5903 (n=1003)
  tldr_machine_continuation_t0_3b: AUROC=0.5435 (n=1002)
  tldr_machine_continuation_text-davinci-002: AUROC=0.6187 (n=1003)
  tldr_machine_continuation_text-davinci-003: AUROC=0.6765 (n=1002)
  tldr_machine_specified_gpt-3.5-trubo: AUROC=0.9965 (n=1002)
  tldr_machine_specified_text-davinci-002: AUROC=0.5530 (n=1003)
  tldr_machine_specified_text-davinci-003: AUROC=0.6225 (n=1003)
  tldr_machine_topical_gpt-3.5-trubo: AUROC=0.9983 (n=1003)
  tldr_machine_topical_text-davinci-002: AUROC=0.6270 (n=1002)
  tldr_machine_topical_text-davinci-003: AUROC=0.9913 (n=1006)
  wp_machine_continuation_13B: AUROC=0.9550 (n=1003)
  wp_machine_continuation_30B: AUROC=0.9963 (n=1003)
  wp_machine_continuation_65B: AUROC=0.9700 (n=1004)
  wp_machine_continuation_7B: AUROC=0.8845 (n=1006)
  wp_machine_continuation_GLM130B: AUROC=0.9988 (n=1005)
  wp_machine_continuation_bloom_7b: AUROC=0.5497 (n=1004)
  wp_machine_continuation_flan_t5_base: AUROC=0.7760 (n=1004)
  wp_machine_continuation_flan_t5_large: AUROC=0.6870 (n=1004)
  wp_machine_continuation_flan_t5_small: AUROC=0.8365 (n=1002)
  wp_machine_continuation_flan_t5_xxl: AUROC=0.8310 (n=1001)
  wp_machine_continuation_gpt-3.5-trubo: AUROC=0.6296 (n=1005)
  wp_machine_continuation_gpt_j: AUROC=0.6910 (n=1005)
  wp_machine_continuation_gpt_neox: AUROC=0.5773 (n=1003)
  wp_machine_continuation_opt_1.3b: AUROC=0.6980 (n=1001)
  wp_machine_continuation_opt_125m: AUROC=0.5954 (n=1005)
  wp_machine_continuation_opt_13b: AUROC=0.5070 (n=1002)
  wp_machine_continuation_opt_2.7b: AUROC=0.6634 (n=1009)
  wp_machine_continuation_opt_30b: AUROC=0.8060 (n=1001)
  wp_machine_continuation_opt_350m: AUROC=0.7735 (n=1002)
  wp_machine_continuation_opt_6.7b: AUROC=0.7910 (n=1003)
  wp_machine_continuation_opt_iml_30b: AUROC=0.7243 (n=1006)
  wp_machine_continuation_opt_iml_max_1.3b: AUROC=0.8083 (n=1009)
  wp_machine_continuation_t0_11b: AUROC=0.7622 (n=1004)
  wp_machine_continuation_t0_3b: AUROC=0.7315 (n=1002)
  wp_machine_continuation_text-davinci-002: AUROC=0.7172 (n=1004)
  wp_machine_continuation_text-davinci-003: AUROC=0.5390 (n=1005)
  wp_machine_specified_gpt-3.5-trubo: AUROC=0.9872 (n=1006)
  wp_machine_specified_text-davinci-002: AUROC=0.5670 (n=1002)
  wp_machine_specified_text-davinci-003: AUROC=0.7165 (n=1002)
  wp_machine_topical_gpt-3.5-trubo: AUROC=0.9868 (n=1006)
  wp_machine_topical_text-davinci-002: AUROC=0.5430 (n=1001)
  wp_machine_topical_text-davinci-003: AUROC=0.8852 (n=1005)
  xsum_machine_continuation_13B: AUROC=0.8890 (n=1008)
  xsum_machine_continuation_30B: AUROC=0.9750 (n=1004)
  xsum_machine_continuation_65B: AUROC=0.7375 (n=1002)
  xsum_machine_continuation_7B: AUROC=0.9795 (n=1002)
  xsum_machine_continuation_GLM130B: AUROC=0.5790 (n=1002)
  xsum_machine_continuation_bloom_7b: AUROC=0.6860 (n=1002)
  xsum_machine_continuation_flan_t5_base: AUROC=0.8677 (n=1003)
  xsum_machine_continuation_flan_t5_large: AUROC=0.8637 (n=1003)
  xsum_machine_continuation_flan_t5_xl: AUROC=0.7559 (n=1010)
  xsum_machine_continuation_flan_t5_xxl: AUROC=0.5557 (n=1003)
  xsum_machine_continuation_gpt-3.5-trubo: AUROC=0.5495 (n=1004)
  xsum_machine_continuation_gpt_j: AUROC=0.7925 (n=1002)
  xsum_machine_continuation_gpt_neox: AUROC=0.6830 (n=1002)
  xsum_machine_continuation_opt_1.3b: AUROC=0.6160 (n=1001)
  xsum_machine_continuation_opt_125m: AUROC=0.5755 (n=1006)
  xsum_machine_continuation_opt_13b: AUROC=0.6756 (n=1005)
  xsum_machine_continuation_opt_2.7b: AUROC=0.6147 (n=1006)
  xsum_machine_continuation_opt_30b: AUROC=0.8905 (n=1002)
  xsum_machine_continuation_opt_350m: AUROC=0.7613 (n=1003)
  xsum_machine_continuation_opt_6.7b: AUROC=0.6583 (n=1004)
  xsum_machine_continuation_opt_iml_30b: AUROC=0.7390 (n=1001)
  xsum_machine_continuation_opt_iml_max_1.3b: AUROC=0.5020 (n=1001)
  xsum_machine_continuation_t0_11b: AUROC=0.9000 (n=1003)
  xsum_machine_continuation_t0_3b: AUROC=0.5125 (n=1004)
  xsum_machine_continuation_text-davinci-002: AUROC=0.6764 (n=1005)
  xsum_machine_continuation_text-davinci-003: AUROC=0.6224 (n=1007)
  xsum_machine_specified_gpt-3.5-trubo: AUROC=0.9988 (n=1005)
  xsum_machine_specified_text-davinci-002: AUROC=0.5675 (n=1002)
  xsum_machine_specified_text-davinci-003: AUROC=0.9960 (n=1006)
  xsum_machine_topical_gpt-3.5-trubo: AUROC=0.9870 (n=1006)
  xsum_machine_topical_text-davinci-002: AUROC=0.6220 (n=1002)
  xsum_machine_topical_text-davinci-003: AUROC=0.9114 (n=1007)
  yelp_machine_continuation_13B: AUROC=0.9478 (n=1004)
  yelp_machine_continuation_65B: AUROC=0.9920 (n=1003)
  yelp_machine_continuation_7B: AUROC=0.9827 (n=1003)
  yelp_machine_continuation_GLM130B: AUROC=1.0000 (n=1001)
  yelp_machine_continuation_bloom_7b: AUROC=0.6280 (n=1001)
  yelp_machine_continuation_flan_t5_base: AUROC=0.7950 (n=1002)
  yelp_machine_continuation_flan_t5_large: AUROC=0.7288 (n=1004)
  yelp_machine_continuation_flan_t5_small: AUROC=0.8032 (n=1005)
  yelp_machine_continuation_flan_t5_xl: AUROC=0.6807 (n=1004)
  yelp_machine_continuation_flan_t5_xxl: AUROC=0.5832 (n=1004)
  yelp_machine_continuation_gpt-3.5-trubo: AUROC=0.6400 (n=1001)
  yelp_machine_continuation_gpt_j: AUROC=0.6105 (n=1004)
  yelp_machine_continuation_gpt_neox: AUROC=0.7550 (n=1003)
  yelp_machine_continuation_opt_1.3b: AUROC=0.5263 (n=1003)
  yelp_machine_continuation_opt_125m: AUROC=0.5327 (n=1003)
  yelp_machine_continuation_opt_13b: AUROC=0.5500 (n=1001)
  yelp_machine_continuation_opt_2.7b: AUROC=0.7014 (n=1005)
  yelp_machine_continuation_opt_30b: AUROC=0.6617 (n=1003)
  yelp_machine_continuation_opt_350m: AUROC=0.6380 (n=1001)
  yelp_machine_continuation_opt_6.7b: AUROC=0.5270 (n=1002)
  yelp_machine_continuation_opt_iml_30b: AUROC=0.6048 (n=1005)
  yelp_machine_continuation_opt_iml_max_1.3b: AUROC=0.6684 (n=1005)
  yelp_machine_continuation_t0_11b: AUROC=0.7920 (n=1001)
  yelp_machine_continuation_t0_3b: AUROC=0.8723 (n=1003)
  yelp_machine_continuation_text-davinci-002: AUROC=0.7530 (n=1002)
  yelp_machine_continuation_text-davinci-003: AUROC=0.6260 (n=1003)

Saved distribution plot → /kaggle/working/results/mre_distributions.png

============================================================
NOTEBOOK 2 COMPLETE
============================================================
Results saved to: /kaggle/working/results/
Next: Run Notebook 3 (DC + DTD scoring) or Notebook 4 (baselines)




05_ evaluation logs:
============================================================
STEP 1: Aggregating scores from all notebooks
============================================================
  /kaggle/input/datasets/vasuaashadesai/diffudetect-mre-scores/results: 1 files
  /kaggle/input/datasets/shilpavdesai/04-baseline-scoring-scores/results: 2 files

Total files: 3
  scores_mage_mre_smdm-1.1b.parquet: 2000 rows, scores: ['mre_r0.15', 'mre_r0.30', 'mre_r0.50', 'mre_mean']
  scores_mage_fast_detectgpt_gpt-neo-2.7b.parquet: 2000 rows, scores: ['fdgpt_curvature', 'fdgpt_original_ll', 'fdgpt_perturb_mean_ll']
  scores_mage_classical_gpt-neo-2.7b.parquet: 2000 rows, scores: ['cls_log_likelihood', 'cls_mean_rank', 'cls_mean_log_rank', 'cls_mean_entropy', 'cls_perplexity']

Merged: 2000 rows, 19 columns
Score columns found: ['mre_r0.15', 'mre_r0.30', 'mre_r0.50', 'mre_mean', 'fdgpt_curvature', 'cls_log_likelihood', 'cls_mean_rank', 'cls_mean_log_rank', 'cls_mean_entropy', 'cls_perplexity']

============================================================
STEP 2: Clean-Text Detection Performance (Table 1)
============================================================
    mre_r0.15                      AUROC=0.6078  TPR@1%=0.1750  TPR@5%=0.2440
    mre_r0.30                      AUROC=0.6054  TPR@1%=0.1830  TPR@5%=0.2360
    mre_r0.50                      AUROC=0.5964  TPR@1%=0.1620  TPR@5%=0.2210
  ★ mre_mean                       AUROC=0.6023  TPR@1%=0.1780  TPR@5%=0.2260
    fdgpt_curvature                AUROC=0.5345  TPR@1%=0.0140  TPR@5%=0.0540
    cls_log_likelihood             AUROC=0.6329  TPR@1%=0.2310  TPR@5%=0.3450
    cls_mean_rank                  AUROC=0.6645  TPR@1%=0.1050  TPR@5%=0.2470
    cls_mean_log_rank              AUROC=0.6649  TPR@1%=0.2600  TPR@5%=0.3530
    cls_mean_entropy               AUROC=nan  TPR@1%=nan  TPR@5%=nan
    cls_perplexity                 AUROC=0.6329  TPR@1%=0.2310  TPR@5%=0.3450

============================================================
STEP 2b: Per-Generator AUROC (more meaningful than aggregate)
============================================================

  AUROC ≥ 0.90 (easy):    64 generators
  AUROC 0.70–0.90 (medium): 110 generators
  AUROC < 0.70 (hard):    132 generators

  Top 10 generators:
    yelp_machine_continuation_GLM130B                  mre_r0.15=1.000  mre_r0.30=1.000  mre_r0.50=1.000  mre_mean=1.000  fdgpt_curvature=0.858  cls_log_likelihood=1.000  cls_mean_rank=0.525  cls_mean_log_rank=1.000  cls_perplexity=1.000
    tldr_machine_continuation_flan_t5_xxl              mre_r0.15=1.000  mre_r0.30=0.999  mre_r0.50=0.965  mre_mean=0.996  fdgpt_curvature=0.681  cls_log_likelihood=1.000  cls_mean_rank=0.805  cls_mean_log_rank=0.997  cls_perplexity=1.000
    eli5_machine_continuation_30B                      mre_r0.15=1.000  mre_r0.30=0.999  mre_r0.50=1.000  mre_mean=1.000  fdgpt_curvature=0.885  cls_log_likelihood=0.997  cls_mean_rank=0.910  cls_mean_log_rank=0.999  cls_perplexity=0.997
    cmv_machine_continuation_13B                       mre_r0.15=1.000  mre_r0.30=0.999  mre_r0.50=0.999  mre_mean=1.000  fdgpt_curvature=0.848  cls_log_likelihood=0.997  cls_mean_rank=0.974  cls_mean_log_rank=0.999  cls_perplexity=0.997
    wp_machine_specified_gpt-3.5-trubo                 mre_r0.15=0.999  mre_r0.30=0.997  mre_r0.50=0.969  mre_mean=0.987  fdgpt_curvature=0.818  cls_log_likelihood=0.996  cls_mean_rank=0.943  cls_mean_log_rank=0.999  cls_perplexity=0.996
    roct_machine_continuation_GLM130B                  mre_r0.15=0.999  mre_r0.30=0.999  mre_r0.50=0.999  mre_mean=0.999  fdgpt_curvature=0.866  cls_log_likelihood=0.999  cls_mean_rank=0.987  cls_mean_log_rank=1.000  cls_perplexity=0.999
    roct_machine_topical_gpt-3.5-trubo                 mre_r0.15=0.998  mre_r0.30=0.996  mre_r0.50=0.992  mre_mean=0.996  fdgpt_curvature=0.803  cls_log_likelihood=0.995  cls_mean_rank=0.999  cls_mean_log_rank=0.998  cls_perplexity=0.995
